"","zip","city","state","latitude","longitude"
"1","00210","Portsmouth","NH",43.005895,-71.013202
"2","00211","Portsmouth","NH",43.005895,-71.013202
"3","00212","Portsmouth","NH",43.005895,-71.013202
"4","00213","Portsmouth","NH",43.005895,-71.013202
"5","00214","Portsmouth","NH",43.005895,-71.013202
"6","00215","Portsmouth","NH",43.005895,-71.013202
"7","00501","Holtsville","NY",40.922326,-72.637078
"8","00544","Holtsville","NY",40.922326,-72.637078
"9","00601","Adjuntas","PR",18.180103,-66.74947
"10","00602","Aguada","PR",18.363285,-67.18024
"11","00603","Aguadilla","PR",18.448619,-67.13422
"12","00604","Aguadilla","PR",18.498987,-67.13699
"13","00605","Aguadilla","PR",18.465162,-67.141486
"14","00606","Maricao","PR",18.182151,-66.9588
"15","00607","Aguas Buenas","PR",18.256995,-66.104657
"16","00609","Aibonito","PR",18.142002,-66.273278
"17","00610","Anasco","PR",18.288319,-67.13604
"18","00611","Angeles","PR",18.279531,-66.80217
"19","00612","Arecibo","PR",18.449732,-66.69879
"20","00613","Arecibo","PR",18.458093,-66.732732
"21","00614","Arecibo","PR",18.429675,-66.674506
"22","00615","Arroyo","PR",17.96977,-66.061459
"23","00616","Bajadero","PR",18.426748,-66.67669
"24","00617","Barceloneta","PR",18.455499,-66.55575
"25","00618","Barranquitas","PR",18.185463,-66.305827
"26","00622","Boqueron","PR",18.003125,-67.16745
"27","00623","Cabo Rojo","PR",18.08643,-67.15222
"28","00624","Penuelas","PR",18.055399,-66.72602
"29","00625","Caguas","PR",18.232109,-66.039087
"30","00626","Caguas","PR",18.235003,-66.037318
"31","00627","Camuy","PR",18.435246,-66.85644
"32","00631","Castaner","PR",18.186739,-66.85174
"33","00633","Cayey","PR",18.194527,-66.183467
"34","00634","Cayey","PR",18.111528,-66.177083
"35","00635","Ceiba","PR",18.262902,-65.646529
"36","00636","Rosario","PR",18.113284,-67.039706
"37","00637","Sabana Grande","PR",18.073078,-66.94864
"38","00638","Ciales","PR",18.308139,-66.49835
"39","00639","Cidra","PR",18.176094,-66.158728
"40","00640","Coamo","PR",18.077197,-66.359104
"41","00641","Utuado","PR",18.268896,-66.70519
"42","00643","Corozal","PR",18.341254,-66.315194
"43","00644","Coto Laurel","PR",18.049577,-66.55218
"44","00645","Culebra","PR",18.308508,-65.304732
"45","00646","Dorado","PR",18.442798,-66.27689
"46","00647","Ensenada","PR",17.964529,-66.93993
"47","00648","Fajardo","PR",18.333038,-65.656182
"48","00650","Florida","PR",18.363331,-66.56773
"49","00652","Garrochales","PR",18.457453,-66.61217
"50","00653","Guanica","PR",17.992112,-66.90097
"51","00654","Jobos","PR",17.979518,-66.117219
"52","00655","Olimpo","PR",17.976371,-66.116795
"53","00656","Guayanilla","PR",18.038866,-66.79168
"54","00658","Gurabo","PR",18.254137,-65.973605
"55","00659","Hatillo","PR",18.432956,-66.80039
"56","00660","Hormigueros","PR",18.139108,-67.12085
"57","00661","Humacao","PR",18.150829,-65.826595
"58","00662","Isabela","PR",18.478855,-67.01973
"59","00664","Jayuya","PR",18.212565,-66.59243
"60","00665","Ponce","PR",18.044224,-66.502103
"61","00666","Juncos","PR",18.228952,-65.921356
"62","00667","Lajas","PR",18.017819,-67.04226
"63","00669","Lares","PR",18.288418,-66.87503
"64","00670","Las Marias","PR",18.241343,-66.97604
"65","00671","Las Piedras","PR",18.1789,-65.869939
"66","00674","Manati","PR",18.426137,-66.48697
"67","00676","Moca","PR",18.37956,-67.08424
"68","00677","Rincon","PR",18.336121,-67.23675
"69","00678","Quebradillas","PR",18.442334,-66.93275
"70","00680","Mayaguez","PR",18.205232,-67.12655
"71","00681","Mayaguez","PR",18.219023,-67.508068
"72","00682","Mayaguez","PR",18.208402,-67.15428
"73","00683","San German","PR",18.092807,-67.04524
"74","00685","San Sebastian","PR",18.332595,-66.98104
"75","00687","Morovis","PR",18.31708,-66.41528
"76","00688","Sabana Hoyos","PR",18.40415,-66.61348
"77","00690","San Antonio","PR",18.495369,-67.09867
"78","00692","Vega Alta","PR",18.419666,-66.33186
"79","00693","Vega Baja","PR",18.440667,-66.3921
"80","00694","Vega Baja","PR",18.443109,-66.398302
"81","00698","Yauco","PR",18.06547,-66.85587
"82","00703","Aguas Buenas","PR",18.246205,-66.12827
"83","00704","Aguirre","PR",17.970112,-66.22291
"84","00705","Aibonito","PR",18.12942,-66.26541
"85","00707","Maunabo","PR",18.014505,-65.91018
"86","00714","Arroyo","PR",17.987288,-66.05552
"87","00715","Mercedita","PR",18.003492,-66.55868
"88","00716","Ponce","PR",17.999066,-66.59965
"89","00717","Ponce","PR",18.004303,-66.61374
"90","00718","Naguabo","PR",18.22048,-65.74293
"91","00719","Naranjito","PR",18.294571,-66.25098
"92","00720","Orocovis","PR",18.217827,-66.42265
"93","00721","Palmer","PR",18.364161,-65.778288
"94","00723","Patillas","PR",18.023196,-66.0131
"95","00725","Caguas","PR",18.233927,-66.04502
"96","00726","Caguas","PR",18.212965,-66.058033
"97","00727","Caguas","PR",18.23,-66.03
"98","00728","Ponce","PR",18.013353,-66.65218
"99","00729","Canovanas","PR",18.35615,-65.89089
"100","00730","Ponce","PR",18.022626,-66.61727
"101","00731","Ponce","PR",18.077329,-66.61192
"102","00732","Ponce","PR",18.021781,-66.613742
"103","00733","Ponce","PR",18.019331,-66.619165
"104","00734","Ponce","PR",17.999499,-66.643934
"105","00735","Ceiba","PR",18.258444,-65.65987
"106","00736","Cayey","PR",18.112895,-66.15377
"107","00737","Cayey","PR",18.102967,-66.139274
"108","00738","Fajardo","PR",18.32265,-65.66116
